	V0=0.175			
5.22784	7.37744E-06	0.05935557	0.059362948	
5.39784	7.39979E-06	0.060565213	0.060572613	
5.57056	7.42275E-06	0.061799915	0.061807338	
5.746	7.44624E-06	0.063059614	0.06306706	
5.92416	7.47034E-06	0.06434196	0.064349431	
6.10504	7.49496E-06	0.065648537	0.065656032	
6.28864	7.52019E-06	0.066976674	0.066984194	
6.47496	7.54594E-06	0.068326912	0.068334458	
6.664	7.5724E-06	0.069697052	0.069704624	
6.85576	7.59946E-06	0.071086194	0.071093793	
7.05024	7.62705E-06	0.07249543	0.072503058	
7.24744	7.65543E-06	0.073922912	0.073930568	
7.44736	7.68433E-06	0.075371551	0.075379235	
7.65	7.71401E-06	0.076841792	0.076849506	
7.85536	7.74431E-06	0.078334705	0.07834245	
8.06344	7.7753E-06	0.079853779	0.079861555	
8.27424	7.80708E-06	0.081403317	0.081411124	
8.48776	7.83947E-06	0.08298492	0.08299276	
8.704	7.87274E-06	0.084606885	0.084614757	
8.92296	7.9067E-06	0.086268786	0.086276692	
9.14464	7.94145E-06	0.087979965	0.087987907	
9.36904	7.97698E-06	0.089738797	0.089746773	
9.59616	8.01339E-06	0.091549845	0.091557858	
9.826	8.05059E-06	0.093410994	0.093419044	
10.05856	8.08856E-06	0.095322631	0.09533072	
10.29384	8.1275E-06	0.097276209	0.097284337	
10.53184	8.1674E-06	0.099267803	0.099275971	
10.77256	8.20809E-06	0.101304734	0.101312942	
11.016	8.24982E-06	0.103336611	0.10334486	
11.26216	8.29243E-06	0.105422175	0.105430468	
11.51104	8.33608E-06	0.107503424	0.10751176	
11.76264	8.3807E-06	0.109599141	0.109607522	
12.01696	8.42645E-06	0.111712753	0.111721179	
12.274	8.47316E-06	0.113815465	0.113823938	
12.53376	8.521E-06	0.11589594	0.115904461	
12.79624	8.56998E-06	0.117889144	0.117897714	
13.06144	8.6201E-06	0.12002491	0.12003353	
13.32936	8.67143E-06	0.122076667	0.122085339	
13.6	8.7239E-06	0.123999608	0.124008332	
13.87336	8.77769E-06	0.12616271	0.126171488	
14.14944	8.83269E-06	0.128317745	0.128326578	
14.42824	8.88909E-06	0.130397787	0.130406676	
14.70976	8.9468E-06	0.132799717	0.132808663	
14.994	9.00582E-06	0.135272573	0.135281579	
15.28096	9.06641E-06	0.137747248	0.137756315	
15.57064	9.1284E-06	0.140553757	0.140562885	
15.86304	9.19188E-06	0.143511542	0.143520734	
16.15816	9.25692E-06	0.146446893	0.14645615	
16.456	9.32354E-06	0.149427697	0.14943702	
16.75656	9.3919E-06	0.152710604	0.152719996	
17.05984	9.46192E-06	0.155712403	0.155721865	
17.36584	9.5336E-06	0.158473528	0.158483062	
17.67456	9.6072E-06	0.161900757	0.161910364	
17.986	9.68263E-06	0.164574219	0.164583902	
18.30016	9.7599E-06	0.167505597	0.167515357	
18.61704	9.83926E-06	0.170108464	0.170118303	
18.93664	9.92064E-06	0.172753306	0.172763227	
19.25896	1.0004E-05	0.175454555	0.175464559	
19.584	1.00897E-05	0.178606685	0.178616775	
19.91176	1.01776E-05	0.180685734	0.180695912	
20.24224	1.02678E-05	0.183730532	0.1837408	
20.57544	1.03603E-05	0.185959414	0.185969774	
20.91136	1.04554E-05	0.189307527	0.189317982	
21.25	1.0553E-05	0.192799887	0.19281044	
21.59136	1.06533E-05	0.195533879	0.195544532	
21.93544	1.07563E-05	0.198968489	0.198979246	
22.28224	1.08622E-05	0.202571039	0.202581901	
22.63176	1.09709E-05	0.205456644	0.205467615	
22.984	1.10827E-05	0.209145886	0.209156969	
23.33896	1.11977E-05	0.21293929	0.212950488	
23.69664	1.13159E-05	0.216439257	0.216450573	
24.05704	1.14375E-05	0.220783528	0.220794966	
24.42016	1.15626E-05	0.22410239	0.224113953	
24.786	1.16914E-05	0.228081218	0.228092909	
25.15456	1.1824E-05	0.2321242	0.232136024	
25.52584	1.19605E-05	0.235354608	0.235366568	
25.89984	1.21011E-05	0.239850029	0.23986213	
26.27656	1.22459E-05	0.24306024	0.243072486	
26.656	1.23951E-05	0.247554079	0.247566474	
27.03816	1.25489E-05	0.250333426	0.250345975	
27.42304	1.27075E-05	0.255088289	0.255100996	
27.81064	1.2871E-05	0.258904248	0.258917119	
28.20096	1.30398E-05	0.262940321	0.262953361	
28.594	1.32139E-05	0.267446725	0.267459939	
28.98976	1.33937E-05	0.271365402	0.271378796	
29.38824	1.35793E-05	0.275175324	0.275188903	
29.78944	1.3771E-05	0.279661448	0.279675219	
30.19336	1.39691E-05	0.28436805	0.28438202	
30.6	1.41739E-05	0.287658752	0.287672926	
31.00936	1.43857E-05	0.292082298	0.292096683	
31.42144	1.46048E-05	0.296768694	0.296783299	
31.83624	1.48314E-05	0.303562386	0.303577218	
32.25376	1.50662E-05	0.308476105	0.308491171	
32.674	1.53093E-05	0.31346007	0.313475379	
33.09696	1.55611E-05	0.31803737	0.318052931	
33.52264	1.58222E-05	0.323249401	0.323265223	
33.95104	1.6093E-05	0.328398231	0.328414324	
34.38216	1.63737E-05	0.334271013	0.334287387	
34.816	1.66653E-05	0.340219106	0.340235771	
35.25256	1.6968E-05	0.346484419	0.346501387	
35.69184	1.72825E-05	0.352592239	0.352609521	
36.13384	1.76094E-05	0.35661835	0.356635959	
36.57856	1.79493E-05	0.362608492	0.362626442	
37.026	1.83031E-05	0.367859367	0.36787767	
37.47616	1.86713E-05	0.374180721	0.374199392	
37.92904	1.90549E-05	0.378523838	0.378542893	
38.38464	1.94547E-05	0.383232367	0.383251821	
38.84296	1.98717E-05	0.387517011	0.387536882	
39.304	2.03067E-05	0.392990396	0.393010703	
39.76776	2.0761E-05	0.396499581	0.396520342	
40.23424	2.12356E-05	0.40114644	0.401167675	
40.70344	2.17318E-05	0.405807434	0.405829166	
41.17536	2.22509E-05	0.41061609	0.410638341	
41.65	2.27944E-05	0.416390186	0.41641298	
42.12736	2.33637E-05	0.41999332	0.420016683	
42.60744	2.39606E-05	0.430599834	0.430623794	
43.09024	2.4587E-05	0.433915014	0.433939601	
43.57576	2.52446E-05	0.446682345	0.446707589	
44.064	2.59357E-05	0.455974914	0.456000849	
44.55496	2.66625E-05	0.464958279	0.464984941	
45.04864	2.74275E-05	0.47965606	0.479683488	
45.54504	2.82334E-05	0.489617423	0.489645656	
46.04416	2.90833E-05	0.501413527	0.50144261	
46.546	2.99802E-05	0.514344756	0.514374736	
47.05056	3.09275E-05	0.52337451	0.523405438	
47.55784	3.19292E-05	0.535593348	0.535625277	
48.06784	3.29892E-05	0.541117629	0.541150619	
48.58056	3.41125E-05	0.546257117	0.54629123	
49.096	3.53033E-05	0.549223961	0.549259264	
49.61416	3.65674E-05	0.54676135	0.546797917	
50.13504	3.79106E-05	0.546384183	0.546422094	
50.65864	3.93392E-05	0.536048972	0.536088311	
51.18496	4.08605E-05	0.527441273	0.527482134	
51.714	4.24818E-05	0.516854912	0.516897393	
52.24576	4.4211E-05	0.50614537	0.506189581	
52.78024	4.6057E-05	0.49232831	0.492374367	
53.31744	4.8029E-05	0.484281395	0.484329424	
53.85736	5.01363E-05	0.478799186	0.478849323	
54.4	5.23894E-05	0.481907232	0.481959622	
54.94536	5.4803E-05	0.480502195	0.480556998	
55.49344	5.74014E-05	0.492498021	0.492555422	
56.04424	6.02385E-05	0.517946554	0.518006792	
56.59776	6.34258E-05	0.556679707	0.556743133	
57.154	6.71808E-05	0.60530509	0.605372271	
57.71296	7.18691E-05	0.652889681	0.65296155	
58.27464	7.79932E-05	0.712253225	0.712331218	
58.83904	8.60228E-05	0.763804974	0.763890997	
59.40616	9.5925E-05	0.806018353	0.806114278	
59.976	0.000106317	0.839409127	0.839515444	
60.54856	0.000113526	0.857382839	0.857496364	
61.12384	0.000111657	0.853741211	0.853852868	
61.70184	9.64419E-05	0.829346368	0.82944281	
62.28256	7.79503E-05	0.783163646	0.783241597	
62.866	0.000109854	0.723875642	0.723985496	
63.45216	0.000344324	0.646345038	0.646689362	
64.04104	0.00111955	0.551173434	0.552292984	
64.63264	0.003078631	0.461438859	0.46451749	
65.22696	0.007302615	0.367931531	0.375234146	
65.824	0.015418104	0.284153761	0.299571865	
66.42376	0.029617489	0.212109001	0.24172649	
67.02624	0.052518658	0.153378823	0.205897482	
67.63144	0.086804574	0.106973303	0.193777877	
68.23936	0.134631131	0.072538719	0.207169849	
68.85	0.196871593	0.047603753	0.244475346	
69.46336	0.272358713	0.028490174	0.300848887	
70.07944	0.357357082	0.014291274	0.371648357	
70.69824	0.445505174	0.006184043	0.451689217	
71.31976	0.528389288	0.00236543	0.530754718	
71.944	0.596746281	0.000800374	0.597546655	
72.57096	0.642089763	0.000235116	0.642324879	
73.20064	0.658384169	0	0.658384169	
73.83304	0.643324475	0	0.643324475	
74.46816	0.598856195	0	0.598856195	
75.106	0.530778024	0	0.530778024	
75.74656	0.447536138	0	0.447536138	
76.38984	0.358546402	0	0.358546402	
77.03584	0.27249642	0	0.27249642	
77.68456	0.196038241	0	0.196038241	
78.336	0.133121418	0	0.133121418	
78.99016	0.085001601	0	0.085001601	
79.64704	0.050772271	0	0.050772271	
80.30664	0.028164867	0	0.028164867	
80.96896	0.014360242	0	0.014360242	
81.634	0.006626727	0	0.006626727	
82.30176	0.002703924	0	0.002703924	
82.97224	0.000943848	0	0.000943848	
83.64544	0.00027713	0	0.00027713	
84.32136	8.76579E-05	0	8.76579E-05	
85	6.51653E-05	0	6.51653E-05	
85.68136	7.84769E-05	0	7.84769E-05	
86.36544	8.60767E-05	0	8.60767E-05	
87.05224	8.29027E-05	0	8.29027E-05	
87.74176	7.39609E-05	0	7.39609E-05	
88.434	6.41123E-05	0	6.41123E-05	
89.12896	5.57602E-05	0	5.57602E-05	
89.82664	4.94082E-05	0	4.94082E-05	
90.52704	4.46865E-05	0	4.46865E-05	
91.23016	4.10466E-05	0	4.10466E-05	
91.936	3.80567E-05	0	3.80567E-05	
92.64456	3.54558E-05	0	3.54558E-05	
93.35584	3.31107E-05	0	3.31107E-05	
94.06984	3.09609E-05	0	3.09609E-05	
94.78656	2.89788E-05	0	2.89788E-05	
95.506	2.71493E-05	0	2.71493E-05	
96.22816	2.54602E-05	0	2.54602E-05	
96.95304	2.39006E-05	0	2.39006E-05	
97.68064	2.24595E-05	0	2.24595E-05	
98.41096	2.11265E-05	0	2.11265E-05	
99.144	1.98923E-05	0	1.98923E-05	
99.87976	1.87483E-05	0	1.87483E-05	
100.61824	1.76863E-05	0	1.76863E-05	
101.35944	1.66995E-05	0	1.66995E-05	
102.10336	1.57814E-05	0	1.57814E-05	
102.85	1.49261E-05	0	1.49261E-05	
103.59936	1.41285E-05	0	1.41285E-05	
104.35144	1.33838E-05	0	1.33838E-05	
105.10624	1.26878E-05	0	1.26878E-05	
105.86376	1.20365E-05	0	1.20365E-05	
106.624	1.14264E-05	0	1.14264E-05	
107.38696	1.08544E-05	0	1.08544E-05	
108.15264	1.03174E-05	0	1.03174E-05	
108.92104	9.8129E-06	0	9.8129E-06	
109.69216	9.33838E-06	0	9.33838E-06	
110.466	8.89171E-06	0	8.89171E-06	
111.24256	8.47089E-06	0	8.47089E-06	
112.02184	8.07398E-06	0	8.07398E-06	
112.80384	7.69943E-06	0	7.69943E-06	
113.58856	7.34549E-06	0	7.34549E-06	
114.376	7.01092E-06	0	7.01092E-06	
0	6.79525E-06	0	6.79525E-06	
0.00136	6.79499E-06	0.018392015	0.01839881	
0.00544	6.79499E-06	0.01874846	0.018755255	
0.01224	6.79534E-06	0.019112069	0.019118864	
0.02176	6.79595E-06	0.019483096	0.019489892	
0.034	6.79682E-06	0.019861611	0.019868408	
0.04896	6.79796E-06	0.020247914	0.020254712	
0.06664	6.79945E-06	0.020642153	0.020648952	
0.08704	6.8012E-06	0.021044521	0.021051323	
0.11016	6.8033E-06	0.021455198	0.021462002	
0.136	6.80567E-06	0.021874418	0.021881224	
0.16456	6.8083E-06	0.022302243	0.022309051	
0.19584	6.81127E-06	0.022739067	0.022745879	
0.22984	6.81451E-06	0.023184857	0.023191672	
0.26656	6.81802E-06	0.023639834	0.023646652	
0.306	6.82187E-06	0.024104312	0.024111134	
0.34816	6.82598E-06	0.024578199	0.024585025	
0.39304	6.83045E-06	0.025061851	0.025068681	
0.44064	6.83518E-06	0.025555456	0.025562292	
0.49096	6.84026E-06	0.026059051	0.026065891	
0.544	6.84569E-06	0.026573	0.026579846	
0.59976	6.85129E-06	0.027097453	0.027104305	
0.65824	6.85733E-06	0.02763258	0.027639437	
0.71944	6.86364E-06	0.0281786	0.028185463	
0.78336	6.87029E-06	0.028735743	0.028742614	
0.85	6.87721E-06	0.029304112	0.02931099	
0.91936	6.88448E-06	0.029884243	0.029891128	
0.99144	6.89209E-06	0.030476118	0.03048301	
1.06624	6.89998E-06	0.031080339	0.031087239	
1.14376	6.90829E-06	0.031696622	0.03170353	
1.224	6.91688E-06	0.032325902	0.032332819	
1.30696	6.92581E-06	0.032968174	0.0329751	
1.39264	6.93509E-06	0.033623698	0.033630633	
1.48104	6.94463E-06	0.034292743	0.034299688	
1.57216	6.95462E-06	0.034975972	0.034982926	
1.666	6.96495E-06	0.035673086	0.035680051	
1.76256	6.97563E-06	0.03638507	0.036392046	
1.86184	6.98666E-06	0.037111499	0.037118485	
1.96384	6.99805E-06	0.037852978	0.037859976	
2.06856	7.00978E-06	0.038609973	0.038616982	
2.176	7.02195E-06	0.039381568	0.03938859	
2.28616	7.03447E-06	0.040169904	0.040176938	
2.39904	7.04735E-06	0.040973357	0.040980404	
2.51464	7.06066E-06	0.041792811	0.041799872	
2.63296	7.07432E-06	0.042628582	0.042635657	
2.754	7.08833E-06	0.043480593	0.043487681	
2.87776	7.10286E-06	0.0443497	0.044356803	
3.00424	7.11766E-06	0.045235026	0.045242143	
3.13344	7.13298E-06	0.046137407	0.04614454	
3.26536	7.14875E-06	0.047057344	0.047064493	
3.4	7.16486E-06	0.047995682	0.048002846	
3.53736	7.18141E-06	0.048951348	0.04895853	
3.67744	7.19848E-06	0.049926119	0.049933317	
3.82024	7.21591E-06	0.050920151	0.050927367	
3.96576	7.23386E-06	0.051934972	0.051942206	
4.114	7.25216E-06	0.052970483	0.052977736	
4.26496	7.27107E-06	0.054027896	0.054035167	
4.41864	7.29034E-06	0.055107857	0.055115147	
4.57504	7.31013E-06	0.056210886	0.056218196	
4.73416	7.33044E-06	0.057338671	0.057346001	
4.896	7.35128E-06	0.058490558	0.058497909	
5.06056	7.37256E-06	0.059667924	0.059675297	
5.22784	7.39445E-06	0.060870559	0.060877953	
5.39784	7.41678E-06	0.062099094	0.062106511	
5.57056	7.43972E-06	0.063353043	0.063360483	
5.746	7.46319E-06	0.064632301	0.064639765	
5.92416	7.48718E-06	0.065934626	0.065942113	
6.10504	7.51179E-06	0.067261206	0.067268717	
6.28864	7.53692E-06	0.068609577	0.068617114	
6.47496	7.56266E-06	0.06997994	0.069987503	
6.664	7.58902E-06	0.071369939	0.071377528	
6.85576	7.61599E-06	0.072778482	0.072786098	
7.05024	7.64366E-06	0.07420623	0.074213874	
7.24744	7.67185E-06	0.075651455	0.075659127	
7.44736	7.70075E-06	0.0771162	0.077123901	
7.65	7.73035E-06	0.078600997	0.078608728	
7.85536	7.76064E-06	0.080106582	0.080114343	
8.06344	7.79155E-06	0.081636105	0.081643897	
8.27424	7.82325E-06	0.083194055	0.083201878	
8.48776	7.85565E-06	0.084782009	0.084789865	
8.704	7.88884E-06	0.086408416	0.086416305	
8.92296	7.92273E-06	0.088073163	0.088081085	
9.14464	7.9574E-06	0.089787099	0.089795056	
9.36904	7.99286E-06	0.091548043	0.091556036	
9.59616	8.0292E-06	0.093361777	0.093369806	
9.826	8.06633E-06	0.095229196	0.095237262	
10.05856	8.10433E-06	0.097149301	0.097157405	
10.29384	8.14321E-06	0.099114751	0.099122894	
10.53184	8.18297E-06	0.101122157	0.10113034	
10.77256	8.2236E-06	0.103183794	0.103192017	
11.016	8.26528E-06	0.105235609	0.105243874	
11.26216	8.30783E-06	0.107345766	0.107354074	
11.51104	8.35135E-06	0.10946183	0.109470182	
11.76264	8.39592E-06	0.111585019	0.111593415	
12.01696	8.44154E-06	0.113739371	0.113747812	
12.274	8.48822E-06	0.11587285	0.115881339	
12.53376	8.53594E-06	0.117993077	0.118001613	
12.79624	8.5848E-06	0.120034315	0.1200429	
13.06144	8.63489E-06	0.122193538	0.122202173	
13.32936	8.68602E-06	0.124261031	0.124269717	
13.6	8.73847E-06	0.126180466	0.126189205	
13.87336	8.79215E-06	0.128343074	0.128351867	
14.14944	8.84705E-06	0.130452054	0.130460901	
14.42824	8.90327E-06	0.132462754	0.132471657	
14.70976	8.96089E-06	0.134801167	0.134810128	
14.994	9.01982E-06	0.137174124	0.137183143	
15.28096	9.08024E-06	0.139563708	0.139572788	
15.57064	9.14206E-06	0.142309743	0.142318885	
15.86304	9.20545E-06	0.145166047	0.145175253	
16.15816	9.27043E-06	0.148053616	0.148062887	
16.456	9.33689E-06	0.151046733	0.15105607	
16.75656	9.40501E-06	0.154297042	0.154306447	
17.05984	9.47489E-06	0.157363485	0.15737296	
17.36584	9.54652E-06	0.160271726	0.160281273	
17.67456	9.6199E-06	0.163731757	0.163741377	
17.986	9.69511E-06	0.166549276	0.166558971	
18.30016	9.77226E-06	0.169594176	0.169603949	
18.61704	9.85142E-06	0.172326656	0.172336507	
18.93664	9.93259E-06	0.175079261	0.175089193	
19.25896	1.00158E-05	0.177827606	0.177837621	
19.584	1.01012E-05	0.181013348	0.181023449	
19.91176	1.01889E-05	0.183180711	0.1831909	
20.24224	1.02788E-05	0.186143979	0.186154257	
20.57544	1.03712E-05	0.188450285	0.188460656	
20.91136	1.0466E-05	0.191730166	0.191740632	
21.25	1.05634E-05	0.195066931	0.195077494	
21.59136	1.06634E-05	0.19778735	0.197798013	
21.93544	1.07661E-05	0.201099495	0.201110261	
22.28224	1.08716E-05	0.20461776	0.204628631	
22.63176	1.09801E-05	0.207451743	0.207462723	
22.984	1.10916E-05	0.211112569	0.211123661	
23.33896	1.12062E-05	0.214886977	0.214898183	
23.69664	1.13242E-05	0.218257611	0.218268935	
24.05704	1.14453E-05	0.222537225	0.22254867	
24.42016	1.15701E-05	0.225955865	0.225967435	
24.786	1.16985E-05	0.229921957	0.229933655	
25.15456	1.18306E-05	0.233964185	0.233976015	
25.52584	1.19667E-05	0.237272734	0.237284701	
25.89984	1.21068E-05	0.24168655	0.241698657	
26.27656	1.22511E-05	0.245048865	0.245061116	
26.656	1.23998E-05	0.249539514	0.249551914	
27.03816	1.25531E-05	0.252356588	0.252369141	
27.42304	1.27111E-05	0.257224493	0.257237205	
27.81064	1.2874E-05	0.261060364	0.261073238	
28.20096	1.30422E-05	0.265149023	0.265162065	
28.594	1.32156E-05	0.269718384	0.269731599	
28.98976	1.33947E-05	0.273682095	0.27369549	
29.38824	1.35796E-05	0.277610707	0.277624287	
29.78944	1.37705E-05	0.282204016	0.282217787	
30.19336	1.39679E-05	0.287003744	0.287017712	
30.6	1.41718E-05	0.290390459	0.29040463	
31.00936	1.43827E-05	0.294969582	0.294983965	
31.42144	1.46009E-05	0.299840305	0.299854906	
31.83624	1.48266E-05	0.306643696	0.306658522	
32.25376	1.50603E-05	0.311761881	0.311776941	
32.674	1.53022E-05	0.316954867	0.316970169	
33.09696	1.55528E-05	0.321559308	0.32157486	
33.52264	1.58127E-05	0.326839067	0.32685488	
33.95104	1.60821E-05	0.332183797	0.332199879	
34.38216	1.63616E-05	0.338138229	0.338154591	
34.816	1.66515E-05	0.344058932	0.344075583	
35.25256	1.69527E-05	0.350233387	0.35025034	
35.69184	1.72656E-05	0.35635966	0.356376925	
36.13384	1.75907E-05	0.360319245	0.360336836	
36.57856	1.79287E-05	0.366075248	0.366093177	
37.026	1.82804E-05	0.370946659	0.370964939	
37.47616	1.86465E-05	0.377147875	0.377166521	
37.92904	1.90278E-05	0.381219027	0.381238054	
38.38464	1.94252E-05	0.385660823	0.385680248	
38.84296	1.98395E-05	0.389570471	0.38959031	
39.304	2.02717E-05	0.3949387	0.394958972	
39.76776	2.0723E-05	0.398261644	0.398282367	
40.23424	2.11945E-05	0.402926157	0.402947352	
40.70344	2.16873E-05	0.407524415	0.407546102	
41.17536	2.22027E-05	0.412602608	0.412624811	
41.65	2.27423E-05	0.418531238	0.41855398	
42.12736	2.33074E-05	0.422795052	0.42281836	
42.60744	2.38998E-05	0.433691075	0.433714975	
43.09024	2.45213E-05	0.437739137	0.437763659	
43.57576	2.51736E-05	0.451221703	0.451246877	
44.064	2.5859E-05	0.460834743	0.460860602	
44.55496	2.65797E-05	0.470621239	0.470647819	
45.04864	2.73381E-05	0.485532982	0.48556032	
45.54504	2.81368E-05	0.495722043	0.49575018	
46.04416	2.8979E-05	0.507388442	0.507417421	
46.546	2.98676E-05	0.520104827	0.520134694	
47.05056	3.08057E-05	0.528343003	0.528373809	
47.55784	3.17975E-05	0.53925406	0.539285858	
48.06784	3.28468E-05	0.543328216	0.543361063	
48.58056	3.39582E-05	0.546767563	0.546801522	
49.096	3.51363E-05	0.547739454	0.54777459	
49.61416	3.63864E-05	0.543415811	0.543452197	
50.13504	3.77144E-05	0.540863664	0.540901378	
50.65864	3.91263E-05	0.528774791	0.528813918	
51.18496	4.06295E-05	0.518591587	0.518632216	
51.714	4.22309E-05	0.507103424	0.507145655	
52.24576	4.39388E-05	0.495752611	0.49579655	
52.78024	4.57611E-05	0.482155545	0.482201306	
53.31744	4.77068E-05	0.475212475	0.475260182	
53.85736	4.97825E-05	0.471363623	0.471413405	
54.4	5.19939E-05	0.477299974	0.477351968	
54.94536	5.43468E-05	0.478528175	0.478582522	
55.49344	5.68528E-05	0.493805935	0.493862788	
56.04424	5.95549E-05	0.523003889	0.523063444	
56.59776	6.25722E-05	0.565154029	0.565216601	
57.154	6.61816E-05	0.616947163	0.617013345	
57.71296	7.09114E-05	0.667234852	0.667305763	
58.27464	7.75881E-05	0.727542206	0.727619794	
58.83904	8.71927E-05	0.778248286	0.778335479	
59.40616	0.000100329	0.817957837	0.818058166	
59.976	0.000116178	0.847141939	0.847258117	
60.54856	0.000131249	0.859583178	0.859714427	
61.12384	0.000139306	0.849274643	0.849413949	
61.70184	0.000135828	0.817735305	0.817871133	
62.28256	0.000133123	0.765807687	0.76594081	
62.866	0.00019498	0.701198554	0.701393535	
63.45216	0.000500685	0.620312589	0.620813274	
64.04104	0.001444632	0.5241744	0.525619032	
64.63264	0.003766884	0.434943682	0.438710566	
65.22696	0.008690862	0.34391171	0.352602572	
65.824	0.018019766	0.263459557	0.281479323	
66.42376	0.03412189	0.195332425	0.229454315	
67.02624	0.059729588	0.140487296	0.200216885	
67.63144	0.097501077	0.097638607	0.195139684	
68.23936	0.149355398	0.066150908	0.215506306	
68.85	0.215680364	0.043557066	0.25923743	
69.46336	0.294605454	0.026276595	0.320882049	
70.07944	0.381587934	0.013353533	0.394941467	
70.69824	0.469539136	0.00587137	0.475410506	
71.31976	0.549608775	0.002280087	0.551888863	
71.944	0.612557893	0.000779261	0.613337154	
72.57096	0.650449833	0.000229973	0.650679806	
73.20064	0.658246576	0	0.658246576	
73.83304	0.634878449	0	0.634878449	
74.46816	0.583480298	0	0.583480298	
75.106	0.51072344	0	0.51072344	
75.74656	0.425435012	0	0.425435012	
76.38984	0.336888121	0	0.336888121	
77.03584	0.253210576	0	0.253210576	
77.68456	0.180273609	0	0.180273609	
78.336	0.121238876	0	0.121238876	
78.99016	0.076734426	0	0.076734426	
79.64704	0.045471056	0	0.045471056	
80.30664	0.025042839	0	0.025042839	
80.96896	0.012679746	0	0.012679746	
81.634	0.005803258	0	0.005803258	
82.30176	0.002334938	0	0.002334938	
82.97224	0.000787116	0	0.000787116	
83.64544	0.000206567	0	0.000206567	
84.32136	4.80965E-05	0	4.80965E-05	
85	3.75352E-05	0	3.75352E-05	
85.68136	5.82061E-05	0	5.82061E-05	
86.36544	7.23883E-05	0	7.23883E-05	
87.05224	7.49632E-05	0	7.49632E-05	
87.74176	7.03185E-05	0	7.03185E-05	
88.434	6.31616E-05	0	6.31616E-05	
89.12896	5.61923E-05	0	5.61923E-05	
89.82664	5.03738E-05	0	5.03738E-05	
90.52704	4.57411E-05	0	4.57411E-05	
91.23016	4.20123E-05	0	4.20123E-05	
91.936	3.88942E-05	0	3.88942E-05	
92.64456	3.61797E-05	0	3.61797E-05	
93.35584	3.3747E-05	0	3.3747E-05	
94.06984	3.15307E-05	0	3.15307E-05	
94.78656	2.94965E-05	0	2.94965E-05	
95.506	2.76235E-05	0	2.76235E-05	
96.22816	2.58965E-05	0	2.58965E-05	
